Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C13, C14, C15, C21, C24, C25, C4, C5, C7",0603,11,100nF,
C10,0603,1,10uF,
"C11, C17, C20, C22, C23, C6",0603,6,1uF,
C16,0603,1,10nF,
"C18, C19",0603,2,12pF,
"C2, C3",CP_EIA-3216-10_Kemet-I,2,22uF,
"C8, C9",0603,2,1.8pF,
D1,D_SOD-123,1,MBR0540,
J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_16P,
J2,BarrelJack_GCT_DCJ200-10-A_Horizontal,1,Barrel_Jack_MountingPin,
J3,"TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",1,Screw_Terminal_01x02,
J4,microSD_HC_Molex_104031-0811,1,Micro_SD_Card_Det2,
J5,SULLINS_SFH11-PBPC-D08-ST-BK,1,SFH11-PBPC-D08-ST-BK,
L1,0603,1,2.4nH,
L2,0402,1,22nH,
L3,0603,1,2.0nH,
"R1, R2",0603,2,5.1k,
"R10, R11, R12, R13, R14, R15, R16, R3, R4, R5, R6, R7, R8, R9",0603,14,10k,
SW1,SW_Push_SPST_NO_Alps_SKRK,1,EN,
SW2,SW_Push_SPST_NO_Alps_SKRK,1,BOOT,
U1,LGA-14L_2P5X3X0P86_STM,1,LSM6DSOTR,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
U3,SOT-23-6,1,USBLC6-2SC6,
U4,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,
U5,Texas_SWRA117D_2.4GHz_Left,1,~,
U6,QFN-56-1EP_7x7mm_P0.4mm_EP5.6x5.6mm,1,ESP32-S3,
"U7, U8",PW20,2,SN74HCT245PWR,
X1,Crystal_SMD_Abracon_ABM10-4Pin_2.5x2.0mm,1,40MHz,
